run,Selection_Threshold,VIF_Threshold,PCA_n_Components,colinearity_threshold,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
2,0.014,15,100,0.85,0.9978,0.8929,0.8894,0.9177,0.922,0.9181
3,0.014,15,100,0.85,0.9964,0.9103,0.9099,0.9349,0.9386,0.9329
1,0.016,30,40,0.75,0.9937,0.9038,0.9022,0.9287,0.9301,0.9283
2,0.016,30,40,0.75,0.9952,0.8881,0.8868,0.9175,0.9235,0.9181
3,0.016,30,40,0.75,0.9941,0.8983,0.8995,0.927,0.9284,0.9261
1,0.016,30,40,0.8,0.9936,0.903,0.9022,0.9286,0.9299,0.9283
2,0.016,30,40,0.8,0.9947,0.8926,0.8906,0.9212,0.9275,0.9215
3,0.016,30,40,0.8,0.9951,0.9017,0.9024,0.9294,0.9312,0.9283
1,0.016,30,40,0.85,0.9931,0.9064,0.9061,0.931,0.9324,0.9306
2,0.016,30,40,0.85,0.9943,0.8886,0.8877,0.9181,0.9231,0.9181
3,0.016,30,40,0.85,0.9942,0.8985,0.8983,0.9272,0.9289,0.9261
1,0.016,30,50,0.75,0.995,0.9041,0.9025,0.9286,0.9301,0.9283
2,0.016,30,50,0.75,0.9963,0.8928,0.8904,0.9208,0.926,0.9215
3,0.016,30,50,0.75,0.9946,0.9005,0.9003,0.9282,0.9299,0.9272
1,0.016,30,50,0.8,0.9945,0.8955,0.8947,0.9229,0.9242,0.9226
2,0.016,30,50,0.8,0.996,0.8953,0.8925,0.9224,0.9278,0.9226
3,0.016,30,50,0.8,0.9951,0.902,0.9028,0.9295,0.9313,0.9283
1,0.016,30,50,0.85,0.9936,0.8989,0.8988,0.9251,0.9263,0.9249
2,0.016,30,50,0.85,0.9956,0.898,0.8968,0.9247,0.9283,0.9249
3,0.016,30,50,0.85,0.9944,0.899,0.9002,0.9275,0.9299,0.9261
1,0.016,30,60,0.75,0.9957,0.9067,0.9068,0.9311,0.9323,0.9306
2,0.016,30,60,0.75,0.9958,0.8927,0.8874,0.9193,0.9252,0.9204
3,0.016,30,60,0.75,0.9959,0.9057,0.9043,0.9327,0.9344,0.9317
1,0.016,30,60,0.8,0.9953,0.9031,0.9018,0.9286,0.9299,0.9283
2,0.016,30,60,0.8,0.9963,0.8937,0.8892,0.921,0.926,0.9215
3,0.016,30,60,0.8,0.9955,0.8995,0.8986,0.9282,0.93,0.9272
1,0.016,30,60,0.85,0.9949,0.9041,0.9027,0.9296,0.9308,0.9295
2,0.016,30,60,0.85,0.9963,0.8969,0.8932,0.9233,0.9279,0.9238
3,0.016,30,60,0.85,0.9948,0.894,0.8924,0.9251,0.9273,0.9238
1,0.016,30,70,0.75,0.9952,0.9024,0.9023,0.9269,0.9285,0.9261
2,0.016,30,70,0.75,0.9964,0.8916,0.8867,0.9185,0.9247,0.9192
3,0.016,30,70,0.75,0.9963,0.9095,0.9078,0.9336,0.9352,0.9329
1,0.016,30,70,0.8,0.9951,0.9043,0.9031,0.929,0.9306,0.9283
2,0.016,30,70,0.8,0.997,0.8942,0.8906,0.9219,0.9288,0.9226
3,0.016,30,70,0.8,0.9958,0.8994,0.9001,0.9286,0.9307,0.9272
1,0.016,30,70,0.85,0.9951,0.9049,0.9041,0.9291,0.9307,0.9283
2,0.016,30,70,0.85,0.9966,0.8938,0.8916,0.921,0.9259,0.9215
3,0.016,30,70,0.85,0.995,0.8961,0.896,0.9264,0.9286,0.9249
1,0.016,30,80,0.75,0.9962,0.9076,0.9068,0.9302,0.9317,0.9295
2,0.016,30,80,0.75,0.997,0.8923,0.8875,0.9191,0.9255,0.9204
3,0.016,30,80,0.75,0.9972,0.9107,0.908,0.9349,0.9369,0.934
1,0.016,30,80,0.8,0.9958,0.9025,0.9016,0.9258,0.9276,0.9249
2,0.016,30,80,0.8,0.9966,0.8904,0.8858,0.9174,0.9241,0.9181
3,0.016,30,80,0.8,0.9959,0.9069,0.9066,0.9319,0.9339,0.9306
1,0.016,30,80,0.85,0.9951,0.9001,0.8993,0.9248,0.9267,0.9238
2,0.016,30,80,0.85,0.997,0.8898,0.8865,0.9174,0.9225,0.9181
3,0.016,30,80,0.85,0.9954,0.9034,0.9027,0.9298,0.9321,0.9283
1,0.016,30,90,0.75,0.9965,0.9076,0.9068,0.9302,0.9317,0.9295
2,0.016,30,90,0.75,0.9968,0.8974,0.892,0.9217,0.9297,0.9226
3,0.016,30,90,0.75,0.997,0.9098,0.9054,0.9336,0.9359,0.9329
1,0.016,30,90,0.8,0.9954,0.904,0.9023,0.9278,0.9291,0.9272
2,0.016,30,90,0.8,0.9967,0.8934,0.8878,0.918,0.9265,0.9192
3,0.016,30,90,0.8,0.9957,0.9033,0.9016,0.9299,0.9325,0.9283
1,0.016,30,90,0.85,0.9954,0.9032,0.9014,0.9267,0.9281,0.9261
2,0.016,30,90,0.85,0.9968,0.8919,0.8863,0.917,0.9249,0.9181
3,0.016,30,90,0.85,0.9954,0.9032,0.9022,0.9298,0.9323,0.9283
1,0.016,30,100,0.75,0.997,0.9115,0.9105,0.9324,0.9338,0.9317
2,0.016,30,100,0.75,0.9971,0.8974,0.8915,0.9208,0.9271,0.9215
3,0.016,30,100,0.75,0.9973,0.9038,0.8994,0.9302,0.9324,0.9295
1,0.016,30,100,0.8,0.996,0.9068,0.9053,0.93,0.9312,0.9295
2,0.016,30,100,0.8,0.9975,0.8944,0.8877,0.9186,0.9259,0.9192
3,0.016,30,100,0.8,0.9955,0.9071,0.9065,0.9333,0.9357,0.9317
1,0.016,30,100,0.85,0.9958,0.907,0.9053,0.9299,0.9311,0.9295
2,0.016,30,100,0.85,0.9971,0.894,0.8877,0.9187,0.9259,0.9192
3,0.016,30,100,0.85,0.9952,0.9058,0.9049,0.9321,0.9345,0.9306
1,0.016,25,40,0.75,0.9932,0.9078,0.9069,0.9312,0.9325,0.9306
2,0.016,25,40,0.75,0.9949,0.8872,0.8855,0.9174,0.9229,0.9181
3,0.016,25,40,0.75,0.9933,0.895,0.8948,0.925,0.9267,0.9238
1,0.016,25,40,0.8,0.9929,0.9027,0.9027,0.9288,0.9308,0.9283
2,0.016,25,40,0.8,0.9939,0.8852,0.8832,0.9148,0.9204,0.9147
3,0.016,25,40,0.8,0.9946,0.8989,0.8983,0.9272,0.9289,0.9261
1,0.016,25,40,0.85,0.9931,0.9065,0.9058,0.9311,0.933,0.9306
2,0.016,25,40,0.85,0.9939,0.888,0.8865,0.9171,0.9218,0.917
3,0.016,25,40,0.85,0.9946,0.8989,0.8983,0.9272,0.9289,0.9261
1,0.016,25,50,0.75,0.9944,0.907,0.9057,0.9311,0.9325,0.9306
2,0.016,25,50,0.75,0.9961,0.8906,0.8888,0.9203,0.9267,0.9215
3,0.016,25,50,0.75,0.9942,0.8994,0.8999,0.9283,0.9301,0.9272
1,0.016,25,50,0.8,0.9949,0.9032,0.9031,0.9284,0.9295,0.9283
2,0.016,25,50,0.8,0.9962,0.8946,0.8929,0.9226,0.9269,0.9226
3,0.016,25,50,0.8,0.9946,0.8984,0.8988,0.9272,0.9291,0.9261
1,0.016,25,50,0.85,0.9936,0.8999,0.8999,0.9262,0.9278,0.9261
2,0.016,25,50,0.85,0.9958,0.8949,0.8934,0.9225,0.9265,0.9226
3,0.016,25,50,0.85,0.9938,0.8964,0.896,0.9262,0.9283,0.9249
1,0.016,25,60,0.75,0.9957,0.9099,0.9091,0.9336,0.9352,0.9329
2,0.016,25,60,0.75,0.9961,0.8912,0.886,0.9183,0.9242,0.9192
3,0.016,25,60,0.75,0.995,0.8971,0.8944,0.9281,0.9302,0.9272
1,0.016,25,60,0.8,0.9949,0.9067,0.9059,0.9309,0.9322,0.9306
2,0.016,25,60,0.8,0.9964,0.8969,0.8926,0.9234,0.9283,0.9238
3,0.016,25,60,0.8,0.9948,0.8936,0.8921,0.9249,0.9269,0.9238
1,0.016,25,60,0.85,0.9946,0.9048,0.9038,0.9287,0.9302,0.9283
2,0.016,25,60,0.85,0.9956,0.8957,0.8917,0.9224,0.9271,0.9226
3,0.016,25,60,0.85,0.9938,0.8962,0.8947,0.9261,0.9281,0.9249
1,0.016,25,70,0.75,0.9952,0.9081,0.9078,0.9316,0.9332,0.9306
2,0.016,25,70,0.75,0.9966,0.8907,0.886,0.9186,0.9242,0.9192
3,0.016,25,70,0.75,0.9968,0.9077,0.9062,0.9341,0.9363,0.9329
1,0.016,25,70,0.8,0.9955,0.9073,0.9063,0.9311,0.9323,0.9306
2,0.016,25,70,0.8,0.997,0.8948,0.8925,0.9222,0.9274,0.9226
3,0.016,25,70,0.8,0.9952,0.8994,0.8986,0.9285,0.9307,0.9272
1,0.016,25,70,0.85,0.9951,0.9056,0.9043,0.9288,0.9302,0.9283
2,0.016,25,70,0.85,0.9966,0.8948,0.8925,0.9222,0.9274,0.9226
3,0.016,25,70,0.85,0.9942,0.9019,0.9013,0.9296,0.9319,0.9283
1,0.016,25,80,0.75,0.9961,0.9058,0.9046,0.9289,0.9302,0.9283
2,0.016,25,80,0.75,0.997,0.8942,0.8905,0.9204,0.9267,0.9215
3,0.016,25,80,0.75,0.9968,0.9082,0.9061,0.934,0.9373,0.9329
1,0.016,25,80,0.8,0.9953,0.9066,0.9057,0.9292,0.9309,0.9283
2,0.016,25,80,0.8,0.9973,0.8906,0.8874,0.9185,0.9237,0.9192
3,0.016,25,80,0.8,0.9957,0.9055,0.9042,0.9307,0.9331,0.9295
1,0.016,25,80,0.85,0.9946,0.9047,0.9036,0.928,0.9296,0.9272
2,0.016,25,80,0.85,0.9973,0.8898,0.8865,0.9174,0.9225,0.9181
3,0.016,25,80,0.85,0.9954,0.9047,0.9025,0.9308,0.9331,0.9295
1,0.016,25,90,0.75,0.9961,0.906,0.9046,0.9289,0.9301,0.9283
2,0.016,25,90,0.75,0.9971,0.8976,0.8919,0.922,0.9291,0.9226
3,0.016,25,90,0.75,0.997,0.9069,0.9023,0.9321,0.9346,0.9317
1,0.016,25,90,0.8,0.9954,0.9059,0.9045,0.929,0.9302,0.9283
2,0.016,25,90,0.8,0.9971,0.8951,0.8892,0.9196,0.9275,0.9204
3,0.016,25,90,0.8,0.9955,0.9036,0.9018,0.9294,0.9318,0.9283
1,0.016,25,90,0.85,0.9954,0.9038,0.9025,0.9267,0.9281,0.9261
2,0.016,25,90,0.85,0.9971,0.8942,0.8891,0.9196,0.9267,0.9204
3,0.016,25,90,0.85,0.9955,0.9015,0.8999,0.9283,0.9307,0.9272
1,0.016,25,100,0.75,0.997,0.9075,0.9064,0.9299,0.9311,0.9295
2,0.016,25,100,0.75,0.9977,0.8986,0.8924,0.9221,0.9295,0.9226
3,0.016,25,100,0.75,0.9973,0.9018,0.8994,0.9297,0.9327,0.9283
1,0.016,25,100,0.8,0.9964,0.906,0.9043,0.9288,0.93,0.9283
2,0.016,25,100,0.8,0.9971,0.8949,0.8886,0.9198,0.927,0.9204
3,0.016,25,100,0.8,0.9955,0.9065,0.9052,0.9333,0.9358,0.9317
1,0.016,25,100,0.85,0.9961,0.9056,0.9036,0.9287,0.9299,0.9283
2,0.016,25,100,0.85,0.9971,0.8929,0.8868,0.9186,0.9263,0.9192
3,0.016,25,100,0.85,0.9955,0.9068,0.9064,0.9332,0.9355,0.9317
1,0.016,20,40,0.75,0.9924,0.9057,0.9054,0.9302,0.9319,0.9295
2,0.016,20,40,0.75,0.9945,0.8803,0.8797,0.9116,0.9183,0.9124
3,0.016,20,40,0.75,0.9938,0.8991,0.9003,0.927,0.9289,0.9261
1,0.016,20,40,0.8,0.9924,0.9049,0.9039,0.929,0.9313,0.9283
2,0.016,20,40,0.8,0.9937,0.8887,0.8874,0.9178,0.9232,0.9181
3,0.016,20,40,0.8,0.9943,0.9026,0.9032,0.9295,0.9316,0.9283
1,0.016,20,40,0.85,0.9929,0.9049,0.9039,0.929,0.9313,0.9283
2,0.016,20,40,0.85,0.9933,0.8887,0.8874,0.9178,0.9232,0.9181
3,0.016,20,40,0.85,0.9943,0.9008,0.9004,0.9284,0.9306,0.9272
1,0.016,20,50,0.75,0.994,0.9083,0.9075,0.9323,0.9337,0.9317
2,0.016,20,50,0.75,0.995,0.8867,0.8861,0.9163,0.9233,0.917
3,0.016,20,50,0.75,0.9945,0.902,0.9016,0.9293,0.9314,0.9283
1,0.016,20,50,0.8,0.9928,0.9005,0.8999,0.9265,0.9283,0.9261
2,0.016,20,50,0.8,0.9953,0.8914,0.8905,0.9194,0.9238,0.9192
3,0.016,20,50,0.8,0.9949,0.9027,0.9038,0.9295,0.9315,0.9283
1,0.016,20,50,0.85,0.993,0.903,0.902,0.9286,0.9303,0.9283
2,0.016,20,50,0.85,0.9948,0.8945,0.8939,0.9213,0.926,0.9215
3,0.016,20,50,0.85,0.9952,0.8989,0.8996,0.9273,0.9294,0.9261
1,0.016,20,60,0.75,0.9951,0.9091,0.9077,0.9324,0.934,0.9317
2,0.016,20,60,0.75,0.9954,0.8904,0.8856,0.9164,0.9227,0.917
3,0.016,20,60,0.75,0.9949,0.9003,0.8999,0.9291,0.9313,0.9283
1,0.016,20,60,0.8,0.9948,0.9069,0.9059,0.931,0.9321,0.9306
2,0.016,20,60,0.8,0.9958,0.8885,0.8844,0.917,0.9211,0.917
3,0.016,20,60,0.8,0.9948,0.9035,0.9031,0.9306,0.9328,0.9295
1,0.016,20,60,0.85,0.9942,0.9091,0.9081,0.9321,0.9333,0.9317
2,0.016,20,60,0.85,0.9952,0.8894,0.8861,0.9169,0.9209,0.917
3,0.016,20,60,0.85,0.9948,0.9009,0.8998,0.9294,0.9314,0.9283
1,0.016,20,70,0.75,0.9952,0.9041,0.9025,0.9279,0.9295,0.9272
2,0.016,20,70,0.75,0.9959,0.8901,0.8856,0.9166,0.9233,0.917
3,0.016,20,70,0.75,0.9968,0.9068,0.907,0.9331,0.9355,0.9317
1,0.016,20,70,0.8,0.9955,0.9044,0.9031,0.9287,0.93,0.9283
2,0.016,20,70,0.8,0.9963,0.8939,0.8918,0.9212,0.9265,0.9215
3,0.016,20,70,0.8,0.9952,0.9053,0.9037,0.9307,0.9328,0.9295
1,0.016,20,70,0.85,0.9955,0.9063,0.9052,0.9299,0.9312,0.9295
2,0.016,20,70,0.85,0.996,0.8939,0.8918,0.9212,0.9265,0.9215
3,0.016,20,70,0.85,0.9944,0.9016,0.899,0.9287,0.9312,0.9272
1,0.016,20,80,0.75,0.9962,0.9068,0.9068,0.9291,0.9306,0.9283
2,0.016,20,80,0.75,0.9965,0.8928,0.8881,0.9178,0.9241,0.9181
3,0.016,20,80,0.75,0.9968,0.912,0.9115,0.9355,0.9379,0.934
1,0.016,20,80,0.8,0.9955,0.9074,0.9066,0.9304,0.932,0.9295
2,0.016,20,80,0.8,0.9968,0.8916,0.8884,0.9186,0.9246,0.9192
3,0.016,20,80,0.8,0.9957,0.9048,0.9041,0.9307,0.9328,0.9295
1,0.016,20,80,0.85,0.9955,0.9076,0.9066,0.9303,0.9318,0.9295
2,0.016,20,80,0.85,0.9968,0.8908,0.8875,0.9174,0.9234,0.9181
3,0.016,20,80,0.85,0.9957,0.9048,0.9041,0.9307,0.9328,0.9295
1,0.016,20,90,0.75,0.997,0.9095,0.9089,0.9313,0.9326,0.9306
2,0.016,20,90,0.75,0.9969,0.8987,0.8936,0.9222,0.9298,0.9226
3,0.016,20,90,0.75,0.997,0.9059,0.9032,0.9304,0.9325,0.9295
1,0.016,20,90,0.8,0.9957,0.905,0.9046,0.9283,0.9301,0.9272
2,0.016,20,90,0.8,0.9967,0.8953,0.8898,0.92,0.9267,0.9204
3,0.016,20,90,0.8,0.9957,0.9034,0.9018,0.9294,0.9318,0.9283
1,0.016,20,90,0.85,0.9956,0.9084,0.9075,0.9302,0.9317,0.9295
2,0.016,20,90,0.85,0.9965,0.8945,0.8889,0.9188,0.9255,0.9192
3,0.016,20,90,0.85,0.9957,0.9048,0.9027,0.9306,0.933,0.9295
1,0.016,20,100,0.75,0.997,0.9111,0.9095,0.9323,0.9335,0.9317
2,0.016,20,100,0.75,0.9976,0.9016,0.896,0.9233,0.9301,0.9238
3,0.016,20,100,0.75,0.9973,0.904,0.9028,0.9301,0.9333,0.9283
1,0.016,20,100,0.8,0.9963,0.9108,0.9095,0.9324,0.9338,0.9317
2,0.016,20,100,0.8,0.9972,0.896,0.8899,0.9199,0.9264,0.9204
3,0.016,20,100,0.8,0.9957,0.9072,0.9066,0.9322,0.9347,0.9306
1,0.016,20,100,0.85,0.9963,0.9096,0.9077,0.9311,0.9323,0.9306
2,0.016,20,100,0.85,0.9972,0.8956,0.8899,0.92,0.9264,0.9204
3,0.016,20,100,0.85,0.9957,0.9047,0.9044,0.9312,0.9338,0.9295
1,0.016,15,40,0.75,0.9928,0.9046,0.9045,0.9288,0.93,0.9283
2,0.016,15,40,0.75,0.9928,0.8893,0.8872,0.9184,0.9244,0.9192
3,0.016,15,40,0.75,0.9921,0.9025,0.9028,0.9292,0.9309,0.9283
1,0.016,15,40,0.8,0.9919,0.9056,0.9064,0.9292,0.9312,0.9283
2,0.016,15,40,0.8,0.992,0.8856,0.8849,0.9154,0.9211,0.9158
3,0.016,15,40,0.8,0.9933,0.8997,0.8991,0.9284,0.9302,0.9272
1,0.016,15,40,0.85,0.9919,0.9058,0.9064,0.9292,0.9309,0.9283
2,0.016,15,40,0.85,0.992,0.8875,0.8867,0.9167,0.922,0.917
3,0.016,15,40,0.85,0.9929,0.8997,0.8991,0.9284,0.9302,0.9272
1,0.016,15,50,0.75,0.9945,0.9039,0.9032,0.9289,0.9304,0.9283
2,0.016,15,50,0.75,0.9951,0.8892,0.8871,0.9182,0.9241,0.9192
3,0.016,15,50,0.75,0.993,0.8994,0.9003,0.9274,0.9297,0.9261
1,0.016,15,50,0.8,0.9932,0.9039,0.9043,0.9291,0.9308,0.9283
2,0.016,15,50,0.8,0.9933,0.8889,0.8892,0.9179,0.9223,0.9181
3,0.016,15,50,0.8,0.9926,0.8991,0.9008,0.9263,0.9284,0.9249
1,0.016,15,50,0.85,0.9929,0.9039,0.9043,0.9291,0.9308,0.9283
2,0.016,15,50,0.85,0.993,0.8901,0.8901,0.9191,0.9236,0.9192
3,0.016,15,50,0.85,0.9925,0.9005,0.9021,0.9274,0.9296,0.9261
1,0.016,15,60,0.75,0.995,0.8998,0.8991,0.9254,0.9267,0.9249
2,0.016,15,60,0.75,0.995,0.8877,0.8835,0.915,0.9213,0.9158
3,0.016,15,60,0.75,0.9941,0.9016,0.9027,0.9297,0.9317,0.9283
1,0.016,15,60,0.8,0.9944,0.9064,0.9059,0.93,0.9315,0.9295
2,0.016,15,60,0.8,0.9945,0.8889,0.8846,0.9165,0.9217,0.917
3,0.016,15,60,0.8,0.9931,0.9044,0.9041,0.9308,0.9329,0.9295
1,0.016,15,60,0.85,0.9941,0.9064,0.9059,0.93,0.9315,0.9295
2,0.016,15,60,0.85,0.9937,0.8892,0.886,0.9167,0.9218,0.917
3,0.016,15,60,0.85,0.9929,0.9044,0.9041,0.9308,0.9329,0.9295
1,0.016,15,70,0.75,0.995,0.9081,0.9082,0.9303,0.9319,0.9295
2,0.016,15,70,0.75,0.9957,0.8911,0.8873,0.9183,0.9254,0.9192
3,0.016,15,70,0.75,0.9956,0.9044,0.9033,0.9318,0.9346,0.9306
1,0.016,15,70,0.8,0.995,0.9012,0.9009,0.9256,0.9271,0.9249
2,0.016,15,70,0.8,0.9966,0.8899,0.8872,0.9183,0.9259,0.9192
3,0.016,15,70,0.8,0.9958,0.905,0.9014,0.9305,0.9329,0.9295
1,0.016,15,70,0.85,0.995,0.9012,0.9009,0.9256,0.9271,0.9249
2,0.016,15,70,0.85,0.9955,0.8896,0.8872,0.9185,0.9262,0.9192
3,0.016,15,70,0.85,0.9951,0.905,0.9014,0.9305,0.9329,0.9295
1,0.016,15,80,0.75,0.9957,0.9112,0.911,0.9325,0.9342,0.9317
2,0.016,15,80,0.75,0.9957,0.896,0.8907,0.9197,0.9269,0.9204
3,0.016,15,80,0.75,0.9958,0.9048,0.9038,0.93,0.9328,0.9283
1,0.016,15,80,0.8,0.995,0.9089,0.9087,0.9316,0.9334,0.9306
2,0.016,15,80,0.8,0.9967,0.8952,0.891,0.9206,0.9269,0.9215
3,0.016,15,80,0.8,0.9956,0.9108,0.9108,0.9342,0.9361,0.9329
1,0.016,15,80,0.85,0.995,0.9089,0.9087,0.9316,0.9334,0.9306
2,0.016,15,80,0.85,0.9969,0.8952,0.891,0.9206,0.9269,0.9215
3,0.016,15,80,0.85,0.9956,0.9108,0.9108,0.9342,0.9361,0.9329
1,0.016,15,90,0.75,0.9959,0.9095,0.9087,0.9315,0.9332,0.9306
2,0.016,15,90,0.75,0.9963,0.898,0.8919,0.9216,0.9296,0.9226
3,0.016,15,90,0.75,0.996,0.9023,0.9015,0.9278,0.9308,0.9261
1,0.016,15,90,0.8,0.9961,0.9082,0.9077,0.9302,0.9317,0.9295
2,0.016,15,90,0.8,0.9967,0.8999,0.8938,0.9233,0.9303,0.9238
3,0.016,15,90,0.8,0.9956,0.9057,0.9033,0.931,0.9339,0.9295
1,0.016,15,90,0.85,0.9952,0.9082,0.9077,0.9302,0.9317,0.9295
2,0.016,15,90,0.85,0.9967,0.8999,0.8938,0.9233,0.9303,0.9238
3,0.016,15,90,0.85,0.9951,0.9055,0.9039,0.9309,0.9334,0.9295
1,0.016,15,100,0.75,0.9961,0.9104,0.9084,0.9322,0.9335,0.9317
2,0.016,15,100,0.75,0.9973,0.8963,0.8901,0.9199,0.9268,0.9204
3,0.016,15,100,0.75,0.9956,0.9022,0.9017,0.9293,0.9326,0.9272
1,0.016,15,100,0.8,0.9957,0.9122,0.9116,0.9335,0.9349,0.9329
2,0.016,15,100,0.8,0.9969,0.8975,0.8919,0.9213,0.9269,0.9215
3,0.016,15,100,0.8,0.9956,0.9092,0.9085,0.9335,0.9365,0.9317
1,0.016,15,100,0.85,0.9957,0.9122,0.9116,0.9335,0.9349,0.9329
